Date,LTC-USD
2017-01-01,4.511590003967285
2017-01-02,4.648940086364746
2017-01-03,4.626200199127197
2017-01-04,4.837850093841553
2017-01-05,4.292719841003418
2017-01-06,3.861259937286377
2017-01-07,3.9558799266815186
2017-01-08,3.994580030441284
2017-01-09,4.301959991455078
2017-01-10,4.591509819030762
2017-01-11,3.846790075302124
2017-01-12,3.9628000259399414
2017-01-13,3.8908700942993164
2017-01-14,3.9005300998687744
2017-01-15,3.925839900970459
2017-01-16,3.9025399684906006
2017-01-17,3.9390499591827393
2017-01-18,3.838200092315674
2017-01-19,3.860610008239746
2017-01-20,3.890010118484497
2017-01-21,3.904510021209717
2017-01-22,3.842940092086792
2017-01-23,3.8357601165771484
2017-01-24,3.786099910736084
2017-01-25,3.7145299911499023
2017-01-26,3.834320068359375
2017-01-27,3.85588002204895
2017-01-28,3.852950096130371
2017-01-29,3.852099895477295
2017-01-30,4.021249771118164
2017-01-31,4.078639984130859
2017-02-01,4.075329780578613
2017-02-02,4.085269927978516
2017-02-03,4.082560062408447
2017-02-04,4.058000087738037
2017-02-05,4.042920112609863
2017-02-06,4.044010162353516
2017-02-07,4.040369987487793
2017-02-08,4.023169994354248
2017-02-09,3.7985899448394775
2017-02-10,3.777209997177124
2017-02-11,3.793100118637085
2017-02-12,3.7643699645996094
2017-02-13,3.7178900241851807
2017-02-14,3.7708001136779785
2017-02-15,3.8092799186706543
2017-02-16,3.7868099212646484
2017-02-17,3.830359935760498
2017-02-18,3.791029930114746
2017-02-19,3.7622599601745605
2017-02-20,3.767659902572632
2017-02-21,3.7832798957824707
2017-02-22,3.805219888687134
2017-02-23,3.8429501056671143
2017-02-24,3.846719980239868
2017-02-25,3.8261098861694336
2017-02-26,3.8267199993133545
2017-02-27,3.8027400970458984
2017-02-28,3.7709898948669434
2017-03-01,3.7988998889923096
2017-03-02,3.9242300987243652
2017-03-03,3.9208199977874756
2017-03-04,3.884000062942505
2017-03-05,3.901560068130493
2017-03-06,3.9214000701904297
2017-03-07,3.8214800357818604
2017-03-08,3.7760000228881836
2017-03-09,3.8384199142456055
2017-03-10,3.7521700859069824
2017-03-11,3.7980000972747803
2017-03-12,3.8425700664520264
2017-03-13,4.170539855957031
2017-03-14,4.055190086364746
2017-03-15,4.16087007522583
2017-03-16,4.237100124359131
2017-03-17,4.055099964141846
2017-03-18,3.9676198959350586
2017-03-19,3.9564099311828613
2017-03-20,4.0333099365234375
2017-03-21,4.009220123291016
2017-03-22,3.936490058898926
2017-03-23,3.980030059814453
2017-03-24,4.083960056304932
2017-03-25,4.070620059967041
2017-03-26,4.060739994049072
2017-03-26,4.07528018951416
2017-03-27,4.155680179595947
2017-03-28,4.1859002113342285
2017-03-29,6.980629920959473
2017-03-30,6.667059898376465
2017-03-31,6.883520126342773
2017-04-01,7.744500160217285
2017-04-02,8.070579528808594
2017-04-03,8.289360046386719
2017-04-04,11.093999862670898
2017-04-05,10.251700401306152
2017-04-06,9.371560096740723
2017-04-07,9.916210174560547
2017-04-08,8.709850311279297
2017-04-09,8.91703987121582
2017-04-10,8.853830337524414
2017-04-11,10.785599708557129
2017-04-12,10.149499893188477
2017-04-13,10.390000343322754
2017-04-14,10.794599533081055
2017-04-15,10.714900016784668
2017-04-16,10.421600341796875
2017-04-17,10.320099830627441
2017-04-18,9.658080101013184
2017-04-19,10.33489990234375
2017-04-20,11.227800369262695
2017-04-21,13.064599990844727
2017-04-22,13.93910026550293
2017-04-23,14.965499877929688
2017-04-24,15.212800025939941
2017-04-25,14.848099708557129
2017-04-26,14.621999740600586
2017-04-27,14.341500282287598
2017-04-28,15.74209976196289
2017-04-29,15.705599784851074
2017-04-30,15.917699813842773
2017-05-01,15.895000457763672
2017-05-02,21.042600631713867
2017-05-03,23.393600463867188
2017-05-04,26.26689910888672
2017-05-05,28.159799575805664
2017-05-06,30.291099548339844
2017-05-07,28.958200454711914
2017-05-08,33.58300018310547
2017-05-09,31.962099075317383
2017-05-10,30.71769905090332
2017-05-11,27.45490074157715
2017-05-12,28.91200065612793
2017-05-13,28.89299964904785
2017-05-14,25.365299224853516
2017-05-15,23.327699661254883
2017-05-16,25.404399871826172
2017-05-17,28.35759925842285
2017-05-18,27.697500228881836
2017-05-19,27.506000518798828
2017-05-20,26.298200607299805
2017-05-21,25.381000518798828
2017-05-22,32.112098693847656
2017-05-23,34.453399658203125
2017-05-24,29.90019989013672
2017-05-25,23.748300552368164
2017-05-26,23.735300064086914
2017-05-27,24.220600128173828
2017-05-28,25.212499618530273
2017-05-29,24.142000198364258
2017-05-30,25.29759979248047
2017-05-31,28.80340003967285
2017-06-01,28.944700241088867
2017-06-02,27.660999298095703
2017-06-03,27.939300537109375
2017-06-04,30.843299865722656
2017-06-05,30.551000595092773
2017-06-06,28.394699096679688
2017-06-07,30.21190071105957
2017-06-08,29.68160057067871
2017-06-09,30.441699981689453
2017-06-10,33.21630096435547
2017-06-11,29.50349998474121
2017-06-12,30.642900466918945
2017-06-13,30.224700927734375
2017-06-14,30.22010040283203
2017-06-15,35.70050048828125
2017-06-16,47.64590072631836
2017-06-17,46.04159927368164
2017-06-18,50.320899963378906
2017-06-19,47.216400146484375
2017-06-20,47.787498474121094
2017-06-21,47.71289825439453
2017-06-22,47.33549880981445
2017-06-23,44.491798400878906
2017-06-24,43.924400329589844
2017-06-25,41.13180160522461
2017-06-26,40.541500091552734
2017-06-27,42.8494987487793
2017-06-28,41.06529998779297
2017-06-29,40.35430145263672
2017-06-30,38.98820114135742
2017-07-01,41.56760025024414
