Date,Open,High,Low,close
2014-12-31,19.627883339682345,19.73372055476313,19.233401510036497,19.29113006591797
2015-01-02,19.368101119995117,19.51242525524091,19.060213057098295,19.368101119995117
2015-01-05,19.36810533228448,19.42583573300139,18.954381804761358,19.04097557067871
2015-01-06,19.069836627574222,19.089080092150535,18.4444387101063,18.463682174682617
2015-01-07,18.598384285656756,18.761950077689082,18.357846464147922,18.41557502746582
2015-01-08,18.62725215365824,19.223785008778155,18.61763041920041,19.108327865600586
2015-01-09,19.17567909210668,19.329623180505106,18.915897754749974,19.185300827026367
2015-01-12,19.233404021146953,19.243025754243025,18.771571843483024,18.944759368896484
2015-01-13,19.08907722484761,19.47393728277649,18.781189178504505,18.915889739990234
2015-01-14,18.713839833647608,19.050591254202995,18.66573117702712,18.992862701416016
2015-01-15,19.127566928950497,19.24302589177062,18.84854400780196,18.858165740966797
2015-01-16,18.829296199528788,19.22377799253188,18.771567649009626,19.20453453063965
2015-01-20,19.339238176435007,19.445073553355385,19.02172837535857,19.262266159057617
2015-01-21,19.156427475505296,19.579774456140953,19.021726914231113,19.531665802001953
2015-01-22,19.570157080505343,19.926152024570413,19.368104358471236,19.868423461914062
2015-01-23,19.88766427669818,19.964636295031756,19.72409850834463,19.926149368286133
2015-01-26,19.839561462402344,19.935775128392944,19.714480760361692,19.839561462402344
2015-01-27,19.531669134675713,19.55091259961481,18.84854264575814,18.887027740478516
2015-01-28,19.117939830786163,19.1949118319579,18.569512257885634,18.579133987426758
2015-01-29,18.58876245333081,19.137188389817595,18.502168691237323,19.031352996826172
2015-01-30,18.89664802649457,19.117944186039328,18.444437645987378,18.473302841186523
2015-02-02,18.588760617123,18.954379095436824,18.223143973966927,18.87740707397461
2015-02-03,19.01211027318843,19.368105233333893,18.91589477430982,19.34886360168457
2015-02-04,19.29113730878122,19.618268973527414,19.233408731225534,19.396974563598633
2015-02-05,19.41620930738819,19.72409736284148,19.396965845132968,19.714475631713867
2015-02-06,19.695238028601857,19.92615413888714,19.541293955078334,19.627887725830078
2015-02-09,19.51243081477314,19.66637489008369,19.387350106609478,19.608644485473633
2015-02-10,19.627883994658546,20.16668814956665,19.541290240367882,20.157068252563477
2015-02-11,20.2051748083692,20.2051748083692,19.887664991929707,20.02236557006836
2015-02-12,21.167329905123516,21.64840558478541,21.042251035880977,21.455974578857422
2015-02-13,21.40786477829743,21.494458535449237,21.0807332146479,21.465593338012695
2015-02-17,21.427106440191537,21.63877903144074,21.292404031980524,21.532941818237305
2015-02-18,21.504077824698,21.542562915083003,21.24429658275816,21.28278350830078
2015-02-19,21.552187752233262,21.59067468332202,21.24429964415474,21.34051513671875
2015-02-20,21.321275416909607,21.504084701381487,21.16733133582535,21.494462966918945
2015-02-23,21.484835762920454,21.484835762920454,21.215432772027594,21.321269989013672
2015-02-24,21.40336835520802,21.54824638366699,21.210196422446675,21.548246383666992
2015-02-25,21.46131877238954,21.557904736854105,21.287466247022174,21.384050369262695
2015-02-26,21.40337003100383,21.56756563403959,21.268150772818224,21.442005157470703
2015-02-27,21.38405208547561,21.432345992695822,21.22951526681931,21.30678367614746
2015-03-02,21.248834133167872,21.944249859779887,21.219857787058256,21.82834815979004
2015-03-03,21.6641534723918,21.770398237094863,21.355079802954947,21.42268943786621
2015-03-04,21.34541783373754,21.712442300842696,21.258490646908193,21.66415023803711
2015-03-05,21.664149417041756,22.118101053773085,21.60619857542636,22.0794677734375
2015-03-06,21.953908483361495,22.060153242772277,21.760738370697872,21.780054092407227
2015-03-09,21.789713063014382,22.002202583675533,21.74142099498647,21.8380069732666
2015-03-10,21.934584464774083,22.359561535135626,21.895951190499623,22.214683532714844
2015-03-11,22.21469085320426,22.504446953530223,22.04083645611894,22.098787307739258
2015-03-12,21.88629916467245,22.050494776006992,21.480639527388547,21.895957946777344
2015-03-13,21.78970948821212,21.982881413080754,21.490294662667342,21.924930572509766
2015-03-16,22.098787522293062,22.320935833072422,21.95390947072348,22.185714721679688
2015-03-17,22.13741767622802,22.465808835161926,21.982880876991352,22.45615005493164
2015-03-18,22.456152979696288,22.572056515331433,21.88629776745724,22.089128494262695
